Neighborhood,Borough,Longitude,Latitude,Borough_code,venue_count,category_count
Corona,Queens,-73.85859516483043,40.743271795494735,3,18.0,0.39473684210526316
Country Club,Bronx,-73.8189118591184,40.84128550000008,0,6.0,0.23076923076923078
Crotona Park,Bronx,-73.89480356354898,40.83901245871736,0,5.0,0.16
Crown Heights,Brooklyn,-73.93623860694589,40.67216120805797,1,28.0,0.4375
Cunningham Park,Queens,-73.7659702075877,40.73393690867133,3,8.0,0.17857142857142858
Cypress Hills,Brooklyn,-73.88470319497522,40.68310154517512,1,16.0,0.3611111111111111
DUMBO,Brooklyn,-73.98999023352408,40.703319929932206,1,86.0,0.5
Ditmars Steinway,Queens,-73.9083386541636,40.77877024689094,3,42.0,0.5645161290322581
Dongan Hills,Staten Island,-74.09199490149454,40.58287797403652,4,25.0,0.4666666666666667
Douglaston,Queens,-73.74425841022209,40.76286221182562,3,10.0,0.3333333333333333
Downtown Brooklyn,Brooklyn,-73.98594522479729,40.694578224936095,1,73.0,0.5806451612903226
Dyker Heights,Brooklyn,-74.01200686712933,40.61889158043561,1,16.0,0.3888888888888889
East Elmhurst,Queens,-73.87910093080848,40.763243,3,19.0,0.48717948717948717
East Flatbush,Brooklyn,-73.93068873215066,40.64880625420757,1,26.0,0.3695652173913043
East Harlem,Manhattan,-73.94233092821975,40.80115845410344,2,35.0,0.45454545454545453
East Morrisania,Bronx,-73.88657700000007,40.83404400000017,0,28.0,0.4375
East New York,Brooklyn,-73.87957980610518,40.6583364595038,1,5.0,0.2
East Village,Manhattan,-73.98224197620328,40.726685319328624,2,100.0,0.5333333333333333
Eastchester,Bronx,-73.81864808698056,40.88379203227595,0,4.0,0.16666666666666666
Edenwald,Bronx,-73.84079165250574,40.886625665945246,0,9.0,0.3103448275862069
Edgemere,Queens,-73.77645501926395,40.59870228487585,3,3.0,0.13043478260869565
Ellis Island,Manhattan,-74.04069248013715,40.69867180114128,2,10.0,0.2
Elmhurst,Queens,-73.87794213179055,40.73559351517943,3,62.0,0.5365853658536586
Eltingville,Staten Island,-74.15543428958281,40.54681191946878,4,18.0,0.39473684210526316
Emerson Hill,Staten Island,-74.1311865,40.604474514197264,4,9.0,0.20689655172413793
Far Rockaway,Queens,-73.75217917184342,40.60159217800882,3,19.0,0.358974358974359
Ferry Point Park,Bronx,-73.83181329076663,40.813370298002035,0,5.0,0.2
Fieldston,Bronx,-73.90226535752672,40.89282199912812,0,17.0,0.3783783783783784
Financial District,Manhattan,-74.00782212460012,40.70673208294262,2,100.0,0.5083333333333333
Flatbush,Brooklyn,-73.95880155802053,40.64194920848098,1,44.0,0.546875
Flatiron District,Manhattan,-73.98879625900602,40.741536809963236,2,100.0,0.4666666666666667
Flatlands,Brooklyn,-73.9321805,40.6223912154266,1,34.0,0.46296296296296297
Floral Park,Queens,-73.70881246223357,40.741728719284914,3,5.0,0.2
Floyd Bennett Field,Brooklyn,-73.8954990730164,40.591168169078614,1,4.0,0.16666666666666666
Flushing,Queens,-73.8175978680877,40.74847862146291,3,23.0,0.3023255813953488
Flushing Meadows Corona Park,Queens,-73.84002948196067,40.737154449694835,3,8.0,0.25
Fordham,Bronx,-73.89350172139692,40.86132287267374,0,80.0,0.44
Forest Hills,Queens,-73.84481356724348,40.72047633920056,3,63.0,0.6144578313253012
Forest Park,Queens,-73.86990440603506,40.695687479128395,3,2.0,0.09090909090909091
Fort Greene,Brooklyn,-73.97505375324019,40.689998,1,71.0,0.5494505494505495
Fort Hamilton,Brooklyn,-74.03026806559012,40.61443069181587,1,64.0,0.5238095238095238
Fort Wadsworth,Staten Island,-74.05843313477104,40.60061336913927,4,9.0,0.27586206896551724
Fresh Meadows,Queens,-73.78372169483711,40.73832603230359,3,31.0,0.47058823529411764
Freshkills Park,Staten Island,-74.17963228139685,40.58003869960804,4,,
Gerritsen Beach,Brooklyn,-73.9265438433465,40.59414367814118,1,8.0,0.25
Glen Oaks,Queens,-73.71537100000015,40.751840922703984,3,7.0,0.2222222222222222
Glendale,Queens,-73.87782403364926,40.7026604814073,3,22.0,0.4523809523809524
Governors Island,Manhattan,-74.0191895805805,40.68813015683137,2,34.0,0.5185185185185185
Gowanus,Brooklyn,-73.98950527561745,40.67537525847613,1,38.0,0.5344827586206896
Gramercy,Manhattan,-73.98512226201896,40.735448182160866,2,100.0,0.49166666666666664
Graniteville,Staten Island,-74.15625250000008,40.61781300000011,4,6.0,0.23076923076923078
Grant City,Staten Island,-74.10758553017118,40.579044059699896,4,19.0,0.46153846153846156
Gravesend,Brooklyn,-73.98328560104177,40.59453734357796,1,30.0,0.42
Great Kills,Staten Island,-74.15282326961403,40.552959960525655,4,18.0,0.3684210526315789
Great Kills Park,Staten Island,-74.12710355054293,40.543288459441435,4,4.0,0.125
Green-Wood Cemetery,Brooklyn,-73.99125000000001,40.651895744739264,1,2.0,0.09090909090909091
Greenpoint,Brooklyn,-73.94435941428975,40.72816847656716,1,27.0,0.46808510638297873
Greenwich Village,Manhattan,-73.99677986449942,40.73139789102594,2,100.0,0.5416666666666666
Grymes Hill,Staten Island,-74.09470500000006,40.61495200000005,4,4.0,0.08333333333333333
Harlem,Manhattan,-73.94794182010862,40.815686777997854,2,48.0,0.5882352941176471
Hart Island,Bronx,-73.76915018869732,40.85259958873108,0,1.0,0.047619047619047616
Hell's Kitchen,Manhattan,-73.99469956069501,40.76285002552086,2,100.0,0.4666666666666667
Highbridge,Bronx,-73.92745996018358,40.836803671666104,0,18.0,0.42105263157894735
Hoffman Island,Staten Island,-74.05391484425311,40.578832602426736,4,,
Hollis,Queens,-73.76752978513419,40.71307114538482,3,15.0,0.34285714285714286
Hollis Hills,Queens,-73.75266847699484,40.733056724164896,3,5.0,0.2
Holliswood,Queens,-73.76837563103322,40.72076788339539,3,4.0,0.16666666666666666
Howard Beach,Queens,-73.83015122457533,40.65534023191249,3,33.0,0.5283018867924528
Howard Beach,Queens,-73.84480033480108,40.65907756403421,3,33.0,0.5283018867924528
Howland Hook,Staten Island,-74.18096264980227,40.632475331085914,4,3.0,0.13043478260869565
Huguenot,Staten Island,-74.16877987302426,40.53175193343312,4,3.0,0.13043478260869565
Hunts Point,Bronx,-73.88303509570056,40.81139438150538,0,12.0,0.34375
Inwood,Manhattan,-73.92412085571752,40.866610098981134,2,100.0,0.425
Jackson Heights,Queens,-73.87544375440352,40.75252300000027,3,43.0,0.3968253968253968
Jamaica,Queens,-73.78872200000013,40.68962600000025,3,4.0,0.16666666666666666
Jamaica Bay,Brooklyn,-73.86620611026407,40.586793235676396,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.86986803659615,40.59770115698837,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.87063816683693,40.60075279683781,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.85706373574592,40.59934208230524,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.86766707875935,40.60362117534332,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.86788358517177,40.60778733402927,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.83519249624439,40.60741129469933,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.87133282808674,40.607624816227435,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.85449420879458,40.611518800111796,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.84502534753004,40.61067596929084,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.83560699147067,40.62057371032983,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.87161486410096,40.62163692559601,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.83384239099368,40.627521627261395,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.85381058548995,40.62367770506116,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.84034721563022,40.62869808473563,1,1.0,0.047619047619047616
Jamaica Bay,Brooklyn,-73.85103921989653,40.634431849281896,1,1.0,0.047619047619047616
Jamaica Estates,Queens,-73.7912960513679,40.719962000000095,3,5.0,0.2
Jamaica Hills,Queens,-73.79941058190335,40.713461720339645,3,7.0,0.25925925925925924
John F. Kennedy International Airport,Queens,-73.79001862355976,40.64230092349246,3,25.0,0.3333333333333333
Kensington,Brooklyn,-73.97787350587566,40.63788954862346,1,11.0,0.3548387096774194
Kew Gardens,Queens,-73.82851053850041,40.708805146772434,3,37.0,0.5087719298245614
