Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Concourse Village,-38.4369394129463,28.170836398920006,0,,1814.2333333333333,,,1739.0006619769122,1739.0006619769122,2
Coney Island,-38.47598181217762,27.99775049809792,1,2158.8888888888887,1905.2129629629628,2014.7006120621802,1524.28262958932,1931.6260782581614,2158.8888888888887,3
Corona,-38.406469485711824,28.112857538891365,3,1889.5,1873.777777777778,1816.127361434932,1916.779848030274,1882.4096450617285,1889.5,2
Country Club,-38.38583416674157,28.180486995000056,0,,1616.6666666666667,,,1651.7954559483728,1651.7954559483728,0
Crotona Park,-38.42529785304547,28.17891859651498,0,,1562.0833333333333,,,1563.0381810165143,1563.0381810165143,0
Crown Heights,-38.446844075611864,28.06379123356,1,2077.6666666666665,1962.6388888888887,2042.7620656687836,2141.5306461773403,1966.420665800249,2077.6666666666665,3
Cunningham Park,-38.358304507945604,28.106416466983216,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Cypress Hills,-38.420045661387114,28.07134006617083,1,,1728.25,,,1735.2590816498318,1735.2590816498318,1
DUMBO,-38.474794921432526,28.085290751653222,1,4107.833333333333,3620.222222222222,3825.4194730761906,2993.714753833897,4098.976711729628,4107.833333333333,4
Ditmars Steinway,-38.432336100165074,28.137351470354748,3,,1972.25,,,1987.244138022471,1987.244138022471,3
Dongan Hills,-38.52783734877716,28.002185802085197,4,,1811.5185185185185,,,1739.0006619769122,1739.0006619769122,2
Douglaston,-38.34701437331549,28.126374926159677,3,,1819.8611111111113,1798.493547150265,,1803.1136960076963,1803.1136960076963,2
Downtown Brooklyn,-38.47269151689459,28.079258975205903,1,3453.5833333333335,3162.888888888889,3156.086139742858,2167.2109523439594,3172.2650889850893,3453.5833333333335,4
Dyker Heights,-38.486243570907256,28.027035190500566,1,1591.2727272727273,1596.45202020202,1634.4561639263145,2362.2217596939427,1595.1466708754206,1591.2727272727273,0
East Elmhurst,-38.41713248402041,28.12663767,3,,1821.0,,,1771.3927831890333,1771.3927831890333,2
East Flatbush,-38.443958140718344,28.047676315403223,1,1749.0833333333333,1894.0,1650.3065941162968,1791.778916861314,1879.6847050017882,1749.0833333333333,2
East Harlem,-38.45001208267427,28.15279933333137,2,2108.0833333333335,2450.4166666666665,2281.0398434465615,2776.7591988978656,2203.694791581875,2108.0833333333335,3
East Morrisania,-38.42102004000004,28.175490360000115,0,,1550.1666666666667,,,1545.9241382074717,1545.9241382074717,0
East New York,-38.417381499174695,28.054252157057622,1,1735.5833333333333,1661.361111111111,1621.3183505123811,1778.4782036484085,1694.4437013788681,1735.5833333333333,1
East Village,-38.47076582762571,28.10141287033675,2,2874.5833333333335,3056.9166666666665,2961.1879915947093,3147.7188261663723,2874.046028138528,2874.5833333333335,4
Eastchester,-38.38569700522989,28.209816502270403,0,,1600.0,,,1599.9447558922557,1599.9447558922557,0
Edenwald,-38.39721165930299,28.21177170950222,0,,1561.1944444444443,,,1555.3709802388971,1555.3709802388971,0
Edgemere,-38.363756610017255,28.013104576564334,3,,1827.280303030303,,,1771.3927831890333,1771.3927831890333,2
Ellis Island,-38.50116008967132,28.08208354278748,2,,3778.555555555555,,,4130.060045062962,4130.060045062962,4
Elmhurst,-38.41652990853109,28.107559525473807,3,1850.0,1795.9166666666667,2045.0751407505147,1859.9082453334083,1790.1467502405003,1850.0,2
Eltingville,-38.56082583058306,27.977300224433456,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Emerson Hill,-38.54821698,28.01708741479611,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Far Rockaway,-38.35113316935858,28.015098602826086,3,,1813.8636363636363,,,1739.0006619769122,1739.0006619769122,2
Ferry Point Park,-38.39254291119865,28.161225505621402,0,,1576.8333333333333,,,1595.5858525733524,1595.5858525733524,0
Fieldston,-38.429177985913896,28.216047179398398,0,,1721.8333333333333,,,1745.6726332371336,1745.6726332371336,2
Financial District,-38.484067504792066,28.087645137230407,2,4048.9166666666665,4327.916666666667,3925.937991594709,3102.9225655356768,4130.060045062962,4048.9166666666665,4
Flatbush,-38.458576810170676,28.042944953851876,1,1855.25,1786.5277777777776,1724.6879915947095,1849.5138420628202,1704.9541325957991,1855.25,2
Flatiron District,-38.47417405468313,28.11166039887463,2,,4049.5277777777774,,,4130.060045062962,4130.060045062962,4
Flatlands,-38.44473386,28.029449938644355,1,,1719.2777777777776,,,1745.6726332371336,1745.6726332371336,2
Floral Park,-38.328582480361455,28.11179281630659,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Floyd Bennett Field,-38.425659517968526,28.00790603666424,1,,1751.7777777777776,,,1734.8021133958634,1734.8021133958634,1
Flushing,-38.38515089140561,28.116450248809404,3,1787.6666666666667,1825.7222222222224,1791.3199500109959,1921.7488798697489,1761.4706527577364,1787.6666666666667,2
Flushing Meadows Corona Park,-38.39681533061955,28.108636570289434,3,,1879.9166666666667,,,1914.7180928330927,1914.7180928330927,3
Fordham,-38.424620895126395,28.194312782144877,0,1538.25,1552.1742424242423,1522.3743101083405,1533.979110827086,1543.4051988135323,1538.25,0
Forest Hills,-38.39930305496661,28.097128674048385,3,1950.25,1884.2222222222224,2064.2250286317467,1754.8346936209964,1891.2885724306554,1950.25,3
