,Neighborhood,Longitude,Latitude,Borough_code,Arrests,Arrests (log)
113,Green-Wood Cemetery,-38.47545,28.04980806387009,1,0.594711931710932,-0.22569334815914685
114,Greenpoint,-38.45106689543067,28.10243624883134,1,0.4455847705870427,-0.3510696611086493
115,Greenwich Village,-38.478325529539696,28.104664544807896,2,0.5198488990182165,-0.2841228714780361
116,Grymes Hill,-38.529246600000036,28.024316880000033,4,0.07606084121579895,-1.118838875698571
117,Harlem,-38.45292974645648,28.162823876818518,2,7.801925815104039,0.8922018164904957
119,Hell's Kitchen,-38.477243771561405,28.126366517609394,2,0.859427615312374,-0.06579069558451692
120,Highbridge,-38.44227917929546,28.17739453344961,0,0.8600265195739157,-0.0654881567482465
122,Hollis,-38.35911548826978,28.092019090315524,3,0.2551332154167745,-0.593232997551809
123,Hollis Hills,-38.35138760803732,28.105809139673777,3,0.04252220256946241,-1.3713842479354525
124,Holliswood,-38.359555328137276,28.097329839542816,3,0.04431891535408758,-1.3534108769235516
125,Howard Beach,-38.39548740543787,28.053474139601608,3,0.08564330940046654,-1.0673065591894662
126,Howland Hook,-38.574100577897184,28.03640797844928,4,0.18027018272405895,-0.7440761010606846
127,Huguenot,-38.56776553397262,27.96690883406885,4,0.12037975656988653,-0.9194465392340391
128,Hunts Point,-38.41917824976429,28.15986212323871,0,1.2840507367454563,0.10858218436620436
129,Inwood,-38.44054284497311,28.19796096829698,2,2.1925885015042517,0.34095713222700297
130,Jackson Heights,-38.41523075228983,28.119240870000183,3,3.3891992160646165,0.5300970972808
131,Jamaica,-38.37013544000007,28.07584194000017,3,3.822206997159283,0.5823142032029636
133,Jamaica Estates,-38.371473946711305,28.096773780000063,3,0.11558852247755275,-0.9370852876467541
134,Jamaica Hills,-38.37569350258974,28.092288587034353,3,1.7092727624400805,0.23281137212410014
136,Kensington,-38.468494223055345,28.040143788550186,1,0.6258549533111016,-0.2035263062074552
137,Kew Gardens,-38.39082548002021,28.089075551272977,3,0.4431891535408758,-0.3534108769235518
138,Kew Gardens Hills,-38.38679053252331,28.10057873725797,3,1.018137244620931,0.007806324723745898
139,Kingsbridge,-38.42901287930371,28.204208189363897,0,1.3241773222687518,0.12194614592418586
140,Kips Bay,-38.46867019817514,28.11105859272294,2,0.5869261763108896,-0.23141652096203313
141,LaGuardia Airport,-38.41357154225646,28.13481211363428,3,0.06827508581575654,-1.1657377453180553
142,Latourette Park,-38.5530977,28.003231515,4,0.0017967127846251721,-2.7455213419348654
143,Laurelton,-38.3455384,28.066456905000216,3,0.6090856339879334,-0.21532164373178342
145,Lighthouse Hill,-38.55243138085338,27.99592073963632,4,0.005390138353875517,-2.268400087215203
146,Little Italy,-38.478535932130995,28.095976423367894,2,0.26052335377064995,-0.5841533396998907
147,Little Neck,-38.3405953950862,28.129553740640514,3,0.03593425569250344,-1.4444913462708844
148,Long Island City,-38.44674682133653,28.11639483419421,3,1.2085887997911993,0.08227856524636372
149,Longwood,-38.42837492000009,28.165776195000166,0,4.088120489283808,0.6115236872880919
150,Lower East Side,-38.47177991092532,28.09447571746125,2,2.068615319365115,0.31567973657691195
151,Manhattan Beach,-38.45013657799293,27.99919442188059,1,0.08863783070817516,-1.0523808812595707
152,Marble Hill,-38.43383364308715,28.204162411197483,2,0.5456017822645106,-0.26312421968152977
153,Marine Park,-38.4402632537733,28.014934059190878,1,0.167094288970141,-0.7770383933809304
154,Mariners Harbor,-38.561750115885445,28.037237406066467,4,0.4294143555254162,-0.3671234409867279
155,Maspeth,-38.431755035283885,28.101822855000034,3,0.1371490758930548,-0.86280711431464
156,Melrose,-38.43704570551841,28.166130510000094,0,3.375424418049157,0.5283283877827907
157,Middle Village,-38.41780677157291,28.095257926224903,3,0.08025317104659102,-1.0955377982897203
158,Midland Beach,-38.52848488796369,27.995502605262466,4,0.032939734384794826,-1.4822799071602841
159,Midtown,-38.46758546140841,28.120872380668175,2,1.549964228869982,0.19032167534213476
160,Midwood,-38.4593631064206,28.028183917209653,1,0.559975484541512,-0.25183098578201024
161,Mill Basin,-38.43476019235511,28.021620492349886,1,0.2239901938166048,-0.6497709944540478
162,Morningside Heights,-38.46058444444642,28.15885170000014,2,1.1882260548987806,0.07489907116363184
163,Morris Heights,-38.43722002594934,28.187193909928215,0,1.6158436976395716,0.20839934868135743
164,Morris Park,-38.40250453978005,28.186693891375686,0,0.061088234677255854,-1.2140424248926103
165,Morrisania,-38.43086026,28.172136566933272,0,2.9963180204932454,0.47658790622888103
166,Mott Haven,-38.43671969606354,28.15989325500019,0,4.26240162939245,0.6296543691723974
167,Mount Eden,-38.43687120000003,28.180035432352458,0,3.146642990140218,0.49784747179552336
168,Mount Hope,-38.43171696000005,28.18594248234211,0,3.919229487529042,0.5932006940087385
169,Murray Hill,-38.46722729250538,28.116065614707594,2,0.3335896736787403,-0.476787401480799
170,Navy Yard,-38.465011,28.085315333391456,1,0.33957871629415753,-0.4690595377616214
171,Neponsit,-38.407925938182885,27.994698135974453,3,0.005989042615417241,-2.222642596654528
172,New Brighton,-38.52745499726232,28.042592463210184,4,0.3132269287863217,-0.5041409077872537
173,New Dorp,-38.539700111513476,27.994809843932146,4,0.08624221366200827,-1.0642801045592782
174,New Dorp Beach,-38.533935403494894,27.990879541460405,4,0.2563310239398579,-0.591198827641356
175,New Springville,-38.562164180679055,28.002734370000137,4,0.15331949095468136,-0.8144026313426784
176,NoHo,-38.47675754000004,28.101705405287788,2,0.23237485347818893,-0.6338108710603207
177,Nolita,-38.477471164720114,28.09836252110003,2,0.6815530496344819,-0.16650033459547567
178,North Brother Island,-38.4271359519521,28.15252232501881,0,0.0029945213077086203,-2.5236725923185093
179,North Riverdale,-38.43076343874899,28.226455222730777,0,0.03952768126175379,-1.4030986611126592
180,Norwood,-38.41726216540867,28.20508633986658,0,1.5912886229163608,0.20174895775574944
181,Oakwood,-38.54103165692342,27.98527650763463,4,0.025752883246294135,-1.5891741410749414
182,Olinville,-38.41037067362687,28.206106362063302,0,1.380474322853674,0.1400283330711389
183,Ozone Park,-38.40126424148853,28.068322320000185,3,1.4421614617924716,0.15901388593125892
184,Park Hill,-38.52076185416376,28.023321704744667,4,0.08923673496971689,-1.0494563282422538
185,Park Slope,-38.469382422543234,28.06556990005965,1,0.050307957969504824,-1.2983633105926462
186,Parkchester,-38.411006268402154,28.176591254999526,0,0.7324599118655285,-0.13521613961824258
187,Pelham Bay,-38.39388954822245,28.186606496952788,0,0.06827508581575654,-1.1657377453180553
188,Pelham Bay Park,-38.37240536413936,28.2010367052839,0,0.004791234092333793,-2.3195526096625843
189,Pelham Gardens,-38.39789456921668,28.195618893060573,0,0.7953448593274095,-0.09944452162252937
191,Pleasant Plains,-38.598143882768234,27.95916535500012,4,0.043720011092545856,-1.3593197365340721
192,Plum Beach,-38.438590880206554,28.002897939439322,1,0.010780276707751033,-1.9673700915512216
193,Port Ivory,-38.57285867108512,28.04352640978493,4,0.18086908698560067,-0.7426356536973774
194,Port Morris,-38.43372523120516,28.15538126561169,0,0.8738013175893754,-0.05858730476107641
195,Port Richmond,-38.55144535604883,28.036816505104827,4,0.427617642740791,-0.36894438487835357
196,Prince's Bay,-38.5847787640154,27.960542433332378,4,0.05629700058492206,-1.2495147430548292
197,Prospect Heights,-38.46440690945223,28.067707055032024,1,1.9506311798413953,0.2901751619103451
198,Prospect Park,-38.464788205995305,28.057543260428357,1,0.2671113006476089,-0.5733077379423862
199,Prospect-Lefferts Gardens,-38.45468901153766,28.054813845000055,1,2.7992785184460183,0.44704611140168005
200,Queens Village,-38.34780153121642,28.094767819511144,3,1.252308810883745,0.09771143616314382
201,Randall Manor,-38.538243119999976,28.038863609109136,4,0.9947799784208037,-0.00227296420313355
202,Randall's Island,-38.440962169967776,28.14610700076107,2,1.4343757063924292,0.15666292109605398
203,Red Hook,-38.48483911444818,28.06516534102062,1,0.25992444950910826,-0.5851528671420173
204,Rego Park,-38.408021340000005,28.099425953694038,3,0.23956170461668963,-0.6205826053265655
205,Richmond Hill,-38.39038061368679,28.07770632000004,3,2.2908088003970946,0.35998884283510835
206,Richmondtown,-38.548461748809025,27.993063114922457,4,0.011978085230834481,-1.9216126009905468
207,Ridgewood,-38.4319221770558,28.085014877329534,3,1.4984584623773936,0.1756447087028731
208,Rikers Island,-38.418538229664,28.146516967221952,0,0.014972606538543102,-1.8247025879824903
209,Riverdale,-38.433953959658325,28.216714602554248,0,0.005989042615417241,-2.222642596654528
210,Rockaway Beach,-38.38021838468914,28.005789752628715,3,0.7252730607270278,-0.1394984535114758
211,Rockaway Park,-38.39256918825653,28.000925643720123,3,0.12337427787759515,-0.9087753762853746
212,Roosevelt Island,-38.454421087422105,28.12521440941443,2,2.4099907484438976,0.3820153753933429
213,Rosebank,-38.51747594810521,28.022922443320766,4,0.0473134366617962,-1.3250155053640864
214,Rosedale,-38.345148276540186,28.05489054624016,3,0.835471444850705,-0.07806838904491169
215,Rossville,-38.58699754,27.98005269000013,4,0.052703575015671716,-1.2781599245043593
216,Schuylerville,-38.39296745446784,28.17735383416558,0,0.9432742119282154,-0.02536203852890873
217,Sea Gate,-38.484022374889385,27.998034104458373,1,0.6917344220806912,-0.16006061242636493
218,Sheepshead Bay,-38.45222151605384,28.012136806857896,1,1.26788032168383,0.10307826136488397
219,Shore Acres,-38.5146559713088,28.01946960757464,4,0.025153978984752412,-1.5993933062566272
220,Silver Lake,-38.53117788000003,28.030667640000075,4,0.008384659661584137,-2.07651456097629
