,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
62,Cobble Hill,Brooklyn,-73.995463,40.687658526439,1,544,2.7355988996981795
63,College Point,Queens,-73.84198945112098,40.7817827162531,3,1488,3.1726029312098594
64,Columbia St,Brooklyn,-74.00700916627468,40.686116905614966,1,108,2.0334237554869494
65,Concord,Staten Island,-74.07900099999998,40.602646500000134,4,207,2.3159703454569174
66,Concourse,Bronx,-73.92420918410576,40.82847050000024,0,3479,3.5414544287475884
67,Concourse Village,Bronx,-73.91719117874288,40.827299128869576,0,3069,3.4869968884318223
68,Coney Island,Brooklyn,-73.99227271572619,40.576449997243365,1,964,2.9840770339028304
69,Corona,Queens,-73.85859516483043,40.743271795494735,3,3556,3.550961752298176
70,Country Club,Bronx,-73.8189118591184,40.84128550000008,0,281,2.4487063199050794
71,Crotona Park,Bronx,-73.89480356354898,40.83901245871736,0,1090,3.0374264979406234
72,Crown Heights,Brooklyn,-73.93623860694589,40.67216120805797,1,7740,3.888740960682892
73,Cunningham Park,Queens,-73.7659702075877,40.73393690867133,3,110,2.041392685158225
74,Cypress Hills,Brooklyn,-73.88470319497522,40.68310154517512,1,3916,3.5928426831311
75,DUMBO,Brooklyn,-73.98999023352408,40.703319929932206,1,188,2.2741578492636796
76,Ditmars Steinway,Queens,-73.9083386541636,40.77877024689094,3,1310,3.117271295655764
77,Dongan Hills,Staten Island,-74.09199490149454,40.58287797403652,4,159,2.2013971243204513
78,Douglaston,Queens,-73.74425841022209,40.76286221182562,3,89,1.9493900066449126
79,Downtown Brooklyn,Brooklyn,-73.98594522479729,40.694578224936095,1,602,2.7795964912578244
80,Dyker Heights,Brooklyn,-74.01200686712933,40.61889158043561,1,896,2.952308009662125
81,East Elmhurst,Queens,-73.87910093080848,40.763243,3,1271,3.104145550554008
82,East Flatbush,Brooklyn,-73.93068873215066,40.64880625420757,1,2939,3.4681995860726125
83,East Harlem,Manhattan,-73.94233092821975,40.80115845410344,2,11734,4.069446083880313
84,East Morrisania,Bronx,-73.88657700000007,40.83404400000017,0,3193,3.504198918539444
85,East New York,Brooklyn,-73.87957980610518,40.6583364595038,1,3418,3.533772058384718
86,East Village,Manhattan,-73.98224197620328,40.726685319328624,2,4785,3.679881942112862
87,Eastchester,Bronx,-73.81864808698056,40.88379203227595,0,25,1.3979400086720375
88,Edenwald,Bronx,-73.84079165250574,40.886625665945246,0,1046,3.0195316845312554
89,Edgemere,Queens,-73.77645501926395,40.59870228487585,3,748,2.873901597864461
91,Elmhurst,Queens,-73.87794213179055,40.73559351517943,3,1523,3.1826999033360424
92,Eltingville,Staten Island,-74.15543428958281,40.54681191946878,4,312,2.4941545940184424
93,Emerson Hill,Staten Island,-74.1311865,40.604474514197264,4,257,2.4099331233312946
94,Far Rockaway,Queens,-73.75217917184342,40.60159217800882,3,1271,3.104145550554008
95,Ferry Point Park,Bronx,-73.83181329076663,40.813370298002035,0,393,2.5943925503754266
96,Fieldston,Bronx,-73.90226535752672,40.89282199912812,0,1083,3.03462845662532
97,Financial District,Manhattan,-74.00782212460012,40.70673208294262,2,666,2.823474229170301
98,Flatbush,Brooklyn,-73.95880155802053,40.64194920848098,1,8730,3.9410142437055695
99,Flatiron District,Manhattan,-73.98879625900602,40.741536809963236,2,1348,3.1296898921993006
